symbol,regularMarketPrice,marketCap,currency,exchangeTimezoneShortName,fullExchangeName,gmtOffSetMilliseconds,sharesOutstanding,beta,longName,club_id
AIK-B.ST,1.64,35817600,SEK,CET,Stockholm,3600000,19646200,,,1
MANU,16.05,2717553664,USD,EST,NYSE,-18000000,55016400,0.677,Manchester United plc,2
